out_units,lr,optimizer,p_dropout,epochs,use_early_stopping,activation_function,batch_size,momentum,l2_reg,outer_fold,inner_fold,inner_train_loss,inner_eval_loss
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,1,2,0.057,0.056
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,1,2,0.008,0.056
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,1,2,0.056,0.055
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,1,3,0.028,0.049
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,1,3,0.06,0.058
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,1,3,0.024,0.037
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,1,3,0.06,0.058
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,1,3,0.022,0.044
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,1,3,0.059,0.057
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,1,3,0.023,0.045
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,1,3,0.06,0.058
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,1,3,0.018,0.039
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,1,3,0.057,0.056
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,1,3,0.018,0.041
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,1,3,0.058,0.057
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,1,3,0.013,0.049
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,1,3,0.059,0.057
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,1,3,0.013,0.052
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,1,3,0.058,0.057
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,1,3,0.014,0.046
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,1,3,0.061,0.057
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,1,3,0.014,0.039
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,1,3,0.057,0.056
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,1,3,0.01,0.053
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,1,3,0.057,0.055
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,1,3,0.009,0.053
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,1,3,0.057,0.056
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,1,3,0.011,0.043
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,1,3,0.058,0.056
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,1,3,0.011,0.042
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,1,3,0.057,0.055
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,1,3,0.006,0.051
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,1,3,0.057,0.055
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,1,3,0.008,0.053
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,1,3,0.056,0.055
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,1,4,0.026,0.05
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,1,4,0.058,0.062
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,1,4,0.028,0.05
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,1,4,0.056,0.062
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,1,4,0.022,0.055
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,1,4,0.059,0.064
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,1,4,0.021,0.048
